ReadGroup	Library	Sample	Total	Mapped	Duplicates	LENGTH_ESTIMATE	TEL0	TEL1	TEL2	TEL3	TEL4	TEL5	TEL6	TEL7	TEL8	TEL9	TEL10	TEL11	TEL12	TEL13	TEL14	TEL15	TEL16	GC0	GC1	GC2	GC3	GC4	GC5	GC6	GC7	GC8	GC9	
lane1	UNKNOWN	DB175	256022819	255756778	2354676	1.84992	247324515	8575256	111338	4371	888	699	397	233	177	103	104	111	137	162	367	1202	2759	18318756	15853977	13948491	12663709	11317900	9619741	8040014	6795045	5571765	4197873	
lane2	UNKNOWN	DB175	262524558	262163583	2411657	1.96242	253605394	8792318	114532	4350	965	728	393	215	167	130	128	99	143	173	417	1251	3155	18749479	16261889	14355918	13066194	11703969	9961102	8334809	7054025	5791513	4372604	
lane3	UNKNOWN	DB176	298000240	297763656	3440507	2.13313	287911341	9943880	129746	5482	1218	789	424	255	220	141	124	136	159	211	471	1517	4126	21214455	18493763	16372266	14944262	13446523	11509934	9698917	8258827	6829406	5175753	
lane4	UNKNOWN	DB176	351161850	350818780	4672732	2.06262	339244124	11746674	153445	6478	1338	980	482	311	220	181	154	177	208	250	520	1747	4561	25000058	21772677	19222337	17519053	15736600	13470933	11340357	9642773	7966181	6036901	
lane1	UNKNOWN	DB177	324202154	324016134	4021149	0.534488	312999725	11045972	145930	6094	1302	729	430	239	145	110	78	67	72	78	144	345	694	23286373	20213826	17782693	16114292	14395219	12291235	10318549	8727350	7193919	5465104	
lane2	UNKNOWN	DB177	328855487	328646532	4162317	0.497317	317499338	11199411	146440	6032	1279	709	400	205	162	110	69	61	43	96	143	333	656	23651060	20581353	18143214	16467728	14729771	12584162	10570518	8939547	7358651	5597098	
lane5	UNKNOWN	DB178	377050067	376789266	4536010	2.20624	364377426	12491313	162011	6469	1399	999	530	324	259	230	195	203	237	341	648	2118	5365	27054937	23661540	21047207	19349458	17495359	15026937	12702837	10859636	9006522	6850044	
lane6	UNKNOWN	DB178	218012641	217862139	2065086	1.85552	210669559	7239576	93594	3607	724	547	323	156	160	102	112	88	126	146	282	982	2557	15646355	13609014	12029722	10998336	9894055	8470031	7125664	6048969	4982281	3776881	
lane5	UNKNOWN	DB179	414918008	414694880	7176954	1.30724	401033987	13689073	178473	6904	1476	1030	543	334	226	173	147	155	158	233	464	1349	3283	29541601	25739610	23005210	21331121	19419658	16667148	14042750	11983482	9946249	7554067	
lane6	UNKNOWN	DB179	239685182	239555607	2976812	1.00269	231644186	7929918	102699	3850	826	569	298	163	117	86	94	83	58	111	201	617	1306	17112378	14830502	13189158	12163698	11023656	9434235	7915144	6718382	5542878	4200195	
lane7	UNKNOWN	DB180	220614196	220289995	2042164	2.07955	213098686	7406569	97192	4829	719	560	310	202	126	101	106	76	115	148	318	1106	3033	15814381	13767080	12196697	11126484	9993844	8548395	7189762	6115414	5049080	3826086	
lane8	UNKNOWN	DB180	269915440	269545168	2309589	1.92751	260719968	9063037	118427	5855	914	739	379	201	143	124	115	103	150	199	343	1240	3503	19318039	16871643	14996356	13731565	12371858	10597469	8939877	7629735	6314607	4796521	
lane1	UNKNOWN	DB181	313312640	313174305	5842316	0.8519	302558573	10603869	139438	5741	1026	680	347	220	143	100	79	78	83	121	169	561	1412	22296268	19232585	16910043	15295919	13628565	11554270	9640145	8136613	6654982	5003762	
lane2	UNKNOWN	DB181	310315101	310176171	5722535	0.928932	299650800	10515437	138018	5595	994	710	343	230	130	109	96	84	76	136	198	596	1549	22073532	19049698	16763501	15158941	13506417	11441307	9546079	8042527	6579514	4935422	
lane1	UNKNOWN	DB182	310215013	309999484	3334025	1.77871	299637419	10427465	134898	5506	2212	762	441	301	204	174	201	160	224	324	578	1380	2764	22246647	19261095	16969738	15416757	13838269	11821182	9925525	8422566	6962431	5290645	
lane2	UNKNOWN	DB182	306402542	306173318	3261096	1.62264	295943450	10311326	133577	5100	2224	744	442	297	216	150	148	148	183	273	486	1257	2521	21963022	19014498	16763115	15237217	13652094	11662473	9783134	8295305	6842417	5195254	
lane1	UNKNOWN	DB183	313086495	312782501	3430954	0.709692	302426297	10514007	135653	5021	1802	683	339	197	180	129	132	134	123	174	266	513	845	22631067	19839096	17677344	16222318	14703510	12743083	10835440	9273703	7729595	5968901	
lane2	UNKNOWN	DB183	322568547	322231663	3584397	0.690566	311575081	10842364	140502	4938	1823	724	419	239	149	152	132	114	139	181	274	531	785	23321539	20438547	18214934	16710014	15131163	13107043	11140787	9529333	7938348	6118827	
lane13	UNKNOWN	DB184	247562919	247394747	4559404	1.28671	239256707	8188250	107024	4957	1032	714	397	236	197	121	105	93	118	154	285	809	1720	17748838	15472899	13800369	12770254	11608768	9965940	8412473	7200005	5985094	4567977	
lane14	UNKNOWN	DB184	341251093	341032999	7012880	1.42018	329801299	11286806	147015	6990	1500	1084	566	343	288	167	197	138	155	244	427	1256	2618	24478467	21331937	19008726	17578934	15983252	13724617	11595352	9927637	8266448	6314379	
lane7	UNKNOWN	DB185	220289774	219563892	1970095	0.983162	212739517	7443966	97716	4084	888	569	309	203	147	90	98	110	104	161	259	579	974	16032408	14179032	12733767	11769943	10733766	9313899	7931723	6808046	5696059	4410344	
lane8	UNKNOWN	DB185	276321617	275509163	2342811	0.893095	266857108	9331470	122558	5242	1030	652	397	212	156	124	112	111	136	160	333	666	1150	19992803	17767416	16052314	14924561	13672647	11919775	10197522	8796238	7400176	5754018	
lane3	UNKNOWN	DB186	288320393	288111794	3141359	2.16258	278600677	9577883	125283	5223	2409	787	496	277	219	207	215	212	266	370	608	1730	3531	20909895	18345071	16372255	15113290	13735840	11800523	9962023	8504690	7086026	5423814	
lane4	UNKNOWN	DB186	353426707	353187286	4419915	2.32272	341522483	11728763	154658	6365	2851	987	642	394	299	267	283	277	320	476	848	2148	4646	25603843	22404163	19957681	18380275	16684589	14325035	12076483	10300906	8561164	6545073	
lane3	UNKNOWN	DB187	298623691	298489993	6104808	1.02394	288406770	10073675	131024	5199	2470	755	409	200	140	103	107	98	94	127	252	692	1576	21313789	18359158	16112958	14590784	12968547	10971173	9128528	7674232	6269162	4686149	
lane4	UNKNOWN	DB187	356237065	356084101	8519631	1.00194	344050391	12015477	156725	6283	2913	847	490	247	186	140	104	99	121	161	282	800	1799	25381451	21846855	19165589	17329524	15408613	13027118	10824262	9097597	7414126	5544207	
lane5	UNKNOWN	DB188	401174052	400930723	5062439	1.47319	387351341	13624761	180319	7497	1606	1024	646	374	273	191	157	152	190	289	540	1480	3212	28934858	25219463	22275074	20273309	18168983	15502482	13012881	11022452	9078866	6868918	
